payment_key,rental_key,amount,payment_date
137,12145,9.99,"2005-08-18 00:10:04"
138,12797,2.99,"2005-08-19 00:24:08"
139,13063,1.99,"2005-08-19 09:45:41"
140,13877,0.99,"2005-08-20 15:16:18"
141,14053,6.99,"2005-08-20 22:13:59"
142,14430,6.99,"2005-08-21 11:31:11"
143,14494,2.99,"2005-08-21 14:02:50"
144,15232,0.99,"2005-08-22 17:37:02"
145,13209,0.99,"2006-02-14 15:16:03"
146,57,4.99,"2005-05-25 08:43:32"
147,577,2.99,"2005-05-28 11:09:14"
148,916,0.99,"2005-05-30 11:25:01"
149,1575,3.99,"2005-06-16 03:41:38"
150,1841,2.99,"2005-06-16 23:44:13"
151,1966,0.99,"2005-06-17 09:19:45"
152,2345,0.99,"2005-06-18 12:03:23"
153,3983,0.99,"2005-07-06 23:14:21"
154,4278,2.99,"2005-07-07 14:53:24"
155,5553,0.99,"2005-07-10 03:03:35"
156,6211,5.99,"2005-07-11 12:39:01"
157,6248,7.99,"2005-07-11 15:01:54"
158,6686,0.99,"2005-07-12 12:18:38"
159,7099,2.99,"2005-07-27 05:03:44"
160,7136,2.99,"2005-07-27 06:38:25"
161,8101,0.99,"2005-07-28 18:47:23"
162,10271,2.99,"2005-08-01 03:13:39"
163,11023,2.99,"2005-08-02 05:36:38"
164,11398,3.99,"2005-08-02 18:55:15"
165,11591,6.99,"2005-08-17 02:29:41"
166,11727,0.99,"2005-08-17 08:12:20"
167,11853,0.99,"2005-08-17 13:39:32"
168,12254,2.99,"2005-08-18 04:05:29"
169,13451,6.99,"2005-08-20 00:18:25"
170,14329,7.99,"2005-08-21 08:22:56"
171,14377,4.99,"2005-08-21 09:49:28"
172,15509,5.99,"2005-08-23 02:51:24"
173,15603,0.99,"2005-08-23 06:41:32"
174,46,5.99,"2005-05-25 06:04:08"
175,117,0.99,"2005-05-25 19:30:46"
176,748,2.99,"2005-05-29 09:27:00"
177,975,4.99,"2005-05-30 21:07:15"
178,1063,5.99,"2005-05-31 08:44:29"
179,1810,0.99,"2005-06-16 21:06:00"
180,2250,2.99,"2005-06-18 05:03:36"
181,2709,0.99,"2005-06-19 14:00:26"
182,2888,4.99,"2005-06-20 01:50:56"
183,3007,0.99,"2005-06-20 10:11:53"
184,3639,5.99,"2005-07-06 07:09:17"
185,4238,2.99,"2005-07-07 13:22:20"
186,4787,5.99,"2005-07-08 16:16:04"
187,4856,4.99,"2005-07-08 18:47:38"
188,5441,8.99,"2005-07-09 21:52:05"
189,5921,7.99,"2005-07-10 21:35:12"
190,6174,1.99,"2005-07-11 10:36:28"
191,6295,2.99,"2005-07-11 17:30:58"
192,6761,3.99,"2005-07-12 15:17:42"
193,8422,5.99,"2005-07-29 07:02:55"
194,9624,7.99,"2005-07-31 04:30:03"
195,10330,6.99,"2005-08-01 04:57:04"
196,10423,5.99,"2005-08-01 08:19:53"
197,10514,4.99,"2005-08-01 11:39:26"
198,10644,4.99,"2005-08-01 15:52:00"
199,10989,3.99,"2005-08-02 04:40:54"
200,11542,7.99,"2005-08-17 00:51:32"
201,12367,8.99,"2005-08-18 07:57:14"
202,12730,2.99,"2005-08-18 21:55:01"
203,13373,2.99,"2005-08-19 21:23:31"
204,13476,2.99,"2005-08-20 01:06:04"
205,13594,0.99,"2005-08-20 05:53:31"
206,14222,5.99,"2005-08-21 04:49:48"
207,866,6.99,"2005-05-30 03:43:54"
208,1305,2.99,"2005-06-15 09:59:16"
209,2095,5.99,"2005-06-17 18:21:35"
210,3114,4.99,"2005-06-20 17:57:47"
211,3475,5.99,"2005-07-05 23:01:21"
212,4003,0.99,"2005-07-07 00:09:02"
213,4175,2.99,"2005-07-07 10:02:03"
214,4409,3.99,"2005-07-07 21:47:29"
215,4503,3.99,"2005-07-08 02:17:12"
216,5300,2.99,"2005-07-09 15:40:46"
217,5341,2.99,"2005-07-09 17:13:23"
218,6375,4.99,"2005-07-11 21:39:46"
219,6647,0.99,"2005-07-12 10:43:53"
220,8809,1.99,"2005-07-29 21:42:49"
221,9629,2.99,"2005-07-31 04:54:43"
222,10141,0.99,"2005-07-31 22:08:29"
223,10561,2.99,"2005-08-01 13:05:35"
224,11232,9.99,"2005-08-02 13:04:12"
225,11284,2.99,"2005-08-02 14:42:45"
226,12613,2.99,"2005-08-18 17:16:01"
227,14114,0.99,"2005-08-21 01:07:11"
228,15374,7.99,"2005-08-22 22:09:09"
229,15764,2.99,"2005-08-23 13:05:10"
230,15805,4.99,"2005-08-23 14:31:19"
231,350,4.99,"2005-05-27 05:01:28"
232,877,0.99,"2005-05-30 05:48:59"
233,1075,4.99,"2005-05-31 10:13:34"
234,3142,7.99,"2005-06-20 19:59:28"
235,3262,4.99,"2005-06-21 04:08:43"
236,4454,2.99,"2005-07-07 23:37:00"
237,4748,0.99,"2005-07-08 13:59:38"
238,4796,1.99,"2005-07-08 16:35:44"
239,5659,2.99,"2005-07-10 07:45:40"
240,6019,4.99,"2005-07-11 02:08:29"
241,6165,5.99,"2005-07-11 10:17:29"
242,7616,0.99,"2005-07-28 00:15:26"
243,7801,2.99,"2005-07-28 07:51:56"
244,9043,4.99,"2005-07-30 06:34:07"
245,10451,0.99,"2005-08-01 09:11:25"
246,10454,4.99,"2005-08-01 09:14:00"
247,11400,5.99,"2005-08-02 19:00:52"
248,11556,0.99,"2005-08-17 01:11:53"
249,12228,2.99,"2005-08-18 03:08:10"
250,12309,2.99,"2005-08-18 05:58:40"
251,12652,4.99,"2005-08-18 18:48:58"
252,14489,7.99,"2005-08-21 13:53:59"
253,15813,4.99,"2006-02-14 15:16:03"
254,1140,4.99,"2005-05-31 19:36:30"
255,1801,4.99,"2005-06-16 20:21:53"
256,1995,4.99,"2005-06-17 11:11:14"
257,2222,3.99,"2005-06-18 03:26:23"
258,2814,0.99,"2005-06-19 20:01:59"
259,2865,0.99,"2005-06-20 00:00:55"
260,3790,3.99,"2005-07-06 14:13:45"
261,4042,4.99,"2005-07-07 03:06:40"
262,4255,1.99,"2005-07-07 14:14:13"
263,5038,7.99,"2005-07-09 03:12:52"
264,5068,2.99,"2005-07-09 04:53:18"
265,5444,0.99,"2005-07-09 21:58:57"
266,5905,2.99,"2005-07-10 20:41:09"
267,7738,2.99,"2005-07-28 05:21:42"
268,8001,6.99,"2005-07-28 15:10:55"
269,8188,4.99,"2005-07-28 22:34:12"
270,9935,4.99,"2005-07-31 15:27:07"
271,10671,8.99,"2005-08-01 17:09:59"
272,11289,2.99,"2005-08-02 14:55:00"
273,11405,0.99,"2005-08-02 19:13:39"
274,12031,2.99,"2005-08-17 20:11:35"
275,12400,2.99,"2005-08-18 09:19:12"
276,13316,4.99,"2005-08-19 19:23:30"
277,13917,2.99,"2005-08-20 16:43:28"
278,15370,5.99,"2005-08-22 21:59:29"
279,987,6.99,"2005-05-30 22:59:12"
280,1470,6.99,"2005-06-15 20:53:07"
281,1939,7.99,"2005-06-17 07:26:45"
282,3192,0.99,"2005-06-20 23:49:12"
283,4608,2.99,"2005-07-08 07:19:11"
284,4943,4.99,"2005-07-08 22:43:05"
285,5835,5.99,"2005-07-10 16:44:58"
286,6146,6.99,"2005-07-11 09:09:59"
287,7314,4.99,"2005-07-27 13:13:32"
288,8014,4.99,"2005-07-28 15:32:07"
289,8100,2.99,"2005-07-28 18:43:11"
290,8447,1.99,"2005-07-29 07:38:14"
291,8715,0.99,"2005-07-29 17:33:45"
292,8950,9.99,"2005-07-30 03:17:13"
293,9292,6.99,"2005-07-30 16:08:21"
294,10812,4.99,"2005-08-01 22:41:16"
295,11166,6.99,"2005-08-02 10:14:58"
296,11502,0.99,"2005-08-16 23:06:30"
297,12015,5.99,"2005-08-17 19:32:44"
298,13572,0.99,"2005-08-20 05:07:27"
299,13790,4.99,"2005-08-20 12:17:27"
300,15120,0.99,"2005-08-22 12:42:47"
301,15240,2.99,"2005-08-22 17:46:41"
302,11646,0.99,"2006-02-14 15:16:03"
303,988,4.99,"2005-05-30 23:08:03"
304,1084,4.99,"2005-05-31 11:10:17"
305,1752,5.99,"2005-06-16 17:02:55"
306,2434,5.99,"2005-06-18 18:11:51"
307,2500,5.99,"2005-06-18 23:07:12"
308,2623,4.99,"2005-06-19 08:11:51"
309,3135,2.99,"2005-06-20 19:33:52"
310,3411,0.99,"2005-06-21 16:31:27"
311,3870,3.99,"2005-07-06 17:57:54"
312,5071,0.99,"2005-07-09 05:00:39"
313,5074,0.99,"2005-07-09 05:06:24"
314,5111,0.99,"2005-07-09 07:02:19"
315,5242,3.99,"2005-07-09 13:20:25"
316,6773,2.99,"2005-07-12 15:55:39"
317,7008,0.99,"2005-07-27 01:44:03"
318,7279,0.99,"2005-07-27 11:50:47"
319,8985,0.99,"2005-07-30 04:34:51"
320,9166,4.99,"2005-07-30 11:26:28"
321,9238,5.99,"2005-07-30 13:49:43"
322,9627,5.99,"2005-07-31 04:42:46"
323,9708,5.99,"2005-07-31 07:45:33"
324,10392,10.99,"2005-08-01 06:50:26"
325,11497,0.99,"2005-08-16 22:52:30"
326,12604,4.99,"2005-08-18 16:58:48"
327,13519,0.99,"2005-08-20 02:37:07"
328,13895,2.99,"2005-08-20 15:58:28"
329,14240,4.99,"2005-08-21 05:19:39"
330,15993,0.99,"2005-08-23 20:28:44"
331,1933,2.99,"2005-06-17 06:54:42"
332,2209,4.99,"2005-06-18 02:24:01"
333,2952,2.99,"2005-06-20 06:26:57"
334,3047,8.99,"2005-06-20 12:45:33"
335,3946,2.99,"2005-07-06 21:39:24"
336,6118,8.99,"2005-07-11 07:43:08"
337,6568,2.99,"2005-07-12 05:45:47"
338,6870,0.99,"2005-07-12 20:13:45"
339,6897,2.99,"2005-07-12 21:30:41"
340,7916,2.99,"2005-07-28 11:49:53"
341,8277,2.99,"2005-07-29 01:38:53"
342,8831,11.99,"2005-07-29 22:37:41"
343,9260,9.99,"2005-07-30 14:38:22"
344,9434,0.99,"2005-07-30 21:29:41"
345,9664,0.99,"2005-07-31 06:12:08"
346,9736,7.99,"2005-07-31 08:58:40"
347,10003,4.99,"2005-07-31 17:48:51"
348,11292,4.99,"2005-08-02 14:58:41"
349,11315,0.99,"2005-08-02 16:05:17"
350,11761,5.99,"2005-08-17 09:44:59"
351,12918,7.99,"2005-08-19 04:31:36"
352,13096,4.99,"2005-08-19 10:49:03"
353,13213,0.99,"2005-08-19 15:25:48"
354,13456,0.99,"2005-08-20 00:33:19"
355,14252,9.99,"2005-08-21 05:44:07"
356,14545,7.99,"2005-08-21 15:44:23"
357,15338,4.99,"2005-08-22 20:51:24"
358,151,0.99,"2005-05-26 00:37:28"
359,346,9.99,"2005-05-27 04:34:41"
360,525,5.99,"2005-05-28 04:25:33"
361,671,2.99,"2005-05-28 22:04:30"
362,815,0.99,"2005-05-29 20:24:28"
363,1360,4.99,"2005-06-15 13:32:15"
364,3707,2.99,"2005-07-06 10:21:49"
365,4952,0.99,"2005-07-08 23:00:07"
366,5104,0.99,"2005-07-09 06:37:07"
367,5317,7.99,"2005-07-09 16:10:25"
368,5383,4.99,"2005-07-09 19:14:32"
369,5565,7.99,"2005-07-10 03:29:48"
370,8035,6.99,"2005-07-28 16:23:01"
371,8042,0.99,"2005-07-28 16:45:11"
372,8548,3.99,"2005-07-29 11:11:33"
373,8836,4.99,"2005-07-29 22:46:08"
374,9438,4.99,"2005-07-30 21:36:15"
375,9592,2.99,"2005-07-31 03:21:16"
376,10348,2.99,"2005-08-01 05:23:00"
377,10526,6.99,"2005-08-01 11:55:33"
378,11480,4.99,"2005-08-02 22:18:24"
379,11528,3.99,"2005-08-17 00:27:23"
380,12668,2.99,"2005-08-18 19:16:47"
381,13757,4.99,"2005-08-20 11:20:12"
382,15015,6.99,"2005-08-22 08:43:50"
383,15373,0.99,"2005-08-22 22:08:11"
384,16045,0.99,"2005-08-23 22:25:26"
385,13780,4.99,"2006-02-14 15:16:03"
386,2486,2.99,"2005-06-18 21:26:56"
387,2937,5.99,"2005-06-20 05:15:37"
388,3182,0.99,"2005-06-20 22:52:18"
389,3550,7.99,"2005-07-06 02:29:21"
390,4127,5.99,"2005-07-07 07:26:19"
391,5717,2.99,"2005-07-10 11:02:03"
392,5975,2.99,"2005-07-11 00:14:19"
393,7105,4.99,"2005-07-27 05:15:37"
394,8193,0.99,"2005-07-28 22:50:50"
395,8615,6.99,"2005-07-29 13:36:01"
396,8927,4.99,"2005-07-30 02:13:31"
397,9987,2.99,"2005-07-31 17:22:35"
398,11118,2.99,"2005-08-02 08:44:18"
399,11141,2.99,"2005-08-02 09:29:11"
400,11307,2.99,"2005-08-02 15:48:08"
401,11341,2.99,"2005-08-02 17:09:24"
402,11922,7.99,"2005-08-17 16:20:37"
403,12272,2.99,"2005-08-18 04:39:10"
404,12551,2.99,"2005-08-18 14:46:26"
405,12635,2.99,"2005-08-18 18:00:23"
406,13339,8.99,"2005-08-19 20:18:36"
407,13393,5.99,"2005-08-19 22:03:46"
408,13503,5.99,"2005-08-20 02:00:33"
409,13541,4.99,"2005-08-20 03:41:41"
410,13677,3.99,"2005-08-20 08:34:41"
411,14569,0.99,"2005-08-21 16:31:22"
412,14776,4.99,"2005-08-21 23:53:35"
413,14872,8.99,"2005-08-22 03:23:41"
414,15178,0.99,"2005-08-22 15:36:04"
415,15897,4.99,"2005-08-23 17:12:31"
416,13798,3.98,"2006-02-14 15:16:03"
417,13968,0,"2006-02-14 15:16:03"
418,335,3.99,"2005-05-27 03:07:10"
419,593,2.99,"2005-05-28 13:33:23"
420,887,0.99,"2005-05-30 07:10:00"
421,1017,2.99,"2005-05-31 02:53:36"
422,1934,6.99,"2005-06-17 07:04:57"
423,1944,7.99,"2005-06-17 07:50:53"
425,2960,7.99,"2005-06-20 07:10:09"
426,3348,0.99,"2005-06-21 11:16:42"
427,3548,0.99,"2005-07-06 02:23:39"
428,4219,2.99,"2005-07-07 12:11:22"
429,4263,3.99,"2005-07-07 14:24:44"
430,4517,4.99,"2005-07-08 02:45:19"
431,6100,4.99,"2005-07-11 06:40:31"
432,7489,0.99,"2005-07-27 19:39:38"
433,7552,2.99,"2005-07-27 22:03:41"
434,8452,5.99,"2005-07-29 07:45:00"
435,9158,0.99,"2005-07-30 11:12:03"
436,9610,5.99,"2005-07-31 03:54:05"
437,10687,2.99,"2005-08-01 17:53:02"
438,10727,2.99,"2005-08-01 19:15:08"
439,11308,0.99,"2005-08-02 15:50:44"
440,12104,2.99,"2005-08-17 22:53:00"
441,12358,4.99,"2005-08-18 07:41:43"
442,12577,7.99,"2005-08-18 15:39:46"
443,13151,4.99,"2005-08-19 13:08:23"
444,13391,4.99,"2005-08-19 22:01:42"
445,13480,6.99,"2005-08-20 01:10:27"
446,14511,8.99,"2005-08-21 14:45:34"
447,287,2.99,"2005-05-26 19:44:54"
448,580,2.99,"2005-05-28 11:19:53"
449,884,4.99,"2005-05-30 06:41:32"
450,2175,5.99,"2005-06-18 00:17:58"
451,2684,8.99,"2005-06-19 12:29:08"
452,3269,5.99,"2005-06-21 05:06:30"
453,5714,3.99,"2005-07-10 10:46:57"
454,5883,3.99,"2005-07-10 19:25:21"
455,6884,1.99,"2005-07-12 20:52:41"
456,8076,8.99,"2005-07-28 17:45:58"
457,8213,2.99,"2005-07-28 23:37:33"
458,9092,8.99,"2005-07-30 08:30:56"
459,9138,2.99,"2005-07-30 10:11:52"
460,9382,8.99,"2005-07-30 19:23:44"
461,9489,0.99,"2005-07-30 23:43:32"
462,11990,4.99,"2005-08-17 18:26:22"
463,13732,2.99,"2005-08-20 10:24:41"
464,14040,2.99,"2005-08-20 21:43:44"
465,14326,2.99,"2005-08-21 08:15:41"
466,14346,2.99,"2005-08-21 08:42:26"
467,15752,5.99,"2005-08-23 12:41:38"
468,50,2.99,"2005-05-25 06:44:53"
469,116,4.99,"2005-05-25 19:27:51"
470,692,4.99,"2005-05-29 01:32:10"
471,1451,5.99,"2005-06-15 19:30:18"
472,1783,4.99,"2005-06-16 19:23:23"
473,2112,5.99,"2005-06-17 19:52:42"
474,2990,8.99,"2005-06-20 09:02:51"
475,4672,3.99,"2005-07-08 10:15:38"
476,4724,3.99,"2005-07-08 12:46:30"
477,4923,3.99,"2005-07-08 21:44:39"
478,6128,2.99,"2005-07-11 08:15:08"
479,6846,0.99,"2005-07-12 19:20:45"
480,8122,2.99,"2005-07-28 19:27:37"
481,8555,4.99,"2005-07-29 11:18:01"
482,9036,4.99,"2005-07-30 06:18:38"
483,9114,4.99,"2005-07-30 09:13:21"
484,10682,4.99,"2005-08-01 17:32:53"
485,10721,1.99,"2005-08-01 19:05:18"
486,11094,4.99,"2005-08-02 08:03:02"
487,11439,4.99,"2005-08-02 20:22:45"
488,12333,0.99,"2005-08-18 06:51:39"
489,13490,0.99,"2005-08-20 01:29:29"
490,18,0.99,"2005-05-25 01:10:47"
491,110,9.99,"2005-05-25 18:43:49"
492,179,6.99,"2005-05-26 04:26:06"
493,337,2.99,"2005-05-27 03:22:30"
494,591,2.99,"2005-05-28 13:11:04"
495,696,2.99,"2005-05-29 01:59:10"
496,2657,2.99,"2005-06-19 10:42:59"
497,2848,2.99,"2005-06-19 22:55:37"
498,3423,2.99,"2005-06-21 17:38:02"
499,3549,4.99,"2005-07-06 02:24:55"
500,6495,4.99,"2005-07-12 02:57:02"
501,9157,5.99,"2005-07-30 11:06:23"
502,9256,0.99,"2005-07-30 14:29:29"
503,10077,9.99,"2005-07-31 20:01:06"
504,10176,7.99,"2005-07-31 23:40:35"
505,11508,8.99,"2005-08-16 23:27:36"
506,11869,5.99,"2005-08-17 14:10:22"
507,12211,9.99,"2005-08-18 02:31:18"
508,12357,2.99,"2005-08-18 07:40:52"
509,13718,8.99,"2005-08-20 09:53:44"
510,13804,8.99,"2005-08-20 12:46:32"
511,14101,4.99,"2005-08-21 00:33:03"
512,15047,2.99,"2005-08-22 09:57:16"
513,15529,0.99,"2005-08-23 03:46:47"
514,202,2.99,"2005-05-26 07:27:36"
515,497,6.99,"2005-05-28 00:54:39"
516,546,1.99,"2005-05-28 07:16:25"
517,1558,0.99,"2005-06-16 02:33:53"
518,2136,3.99,"2005-06-17 21:16:41"
519,2343,4.99,"2005-06-18 11:46:26"
520,3350,4.99,"2005-06-21 11:21:38"
521,4011,3.99,"2005-07-07 00:48:25"
522,4407,2.99,"2005-07-07 21:39:45"
523,5718,2.99,"2005-07-10 11:03:20"
524,6254,2.99,"2005-07-11 15:10:18"
525,6267,6.99,"2005-07-11 15:53:00"
526,7217,4.99,"2005-07-27 09:31:44"
527,7864,5.99,"2005-07-28 10:06:10"
528,8127,2.99,"2005-07-28 19:45:19"
529,9075,4.99,"2005-07-30 07:55:14"
530,9468,3.99,"2005-07-30 22:53:52"
531,10284,4.99,"2005-08-01 03:33:19"
532,10616,7.99,"2005-08-01 14:59:50"
533,10954,1.99,"2005-08-02 03:30:24"
534,11821,0.99,"2005-08-17 12:27:55"
535,12180,0.99,"2005-08-18 01:28:15"
536,13036,4.99,"2005-08-19 08:48:37"
537,13137,4.99,"2005-08-19 12:26:32"
538,13317,2.99,"2005-08-19 19:25:42"
539,14613,2.99,"2005-08-21 18:03:20"
540,15057,6.99,"2005-08-22 10:19:58"
541,15161,1.99,"2005-08-22 14:37:22"
542,15248,0.99,"2005-08-22 17:53:06"
543,15460,2.99,"2005-08-23 01:10:42"
544,260,3.99,"2005-05-26 15:42:20"
545,463,3.99,"2005-05-27 20:11:47"
546,570,0.99,"2005-05-28 10:15:04"
547,2235,7.99,"2005-06-18 04:08:50"
548,2268,4.99,"2005-06-18 06:13:41"
549,2393,2.99,"2005-06-18 15:37:55"
550,2830,4.99,"2005-06-19 21:14:33"
551,3212,10.99,"2005-06-21 01:04:35"
552,5107,4.99,"2005-07-09 06:42:32"
553,5772,3.99,"2005-07-10 13:27:40"
554,5961,2.99,"2005-07-10 23:43:23"
555,6943,1.99,"2005-07-26 23:28:13"
556,7994,0.99,"2005-07-28 14:56:54"
557,8196,6.99,"2005-07-28 22:56:11"
558,8862,2.99,"2005-07-29 23:49:23"
559,9149,0.99,"2005-07-30 10:45:12"
560,9699,5.99,"2005-07-31 07:29:25"
561,10570,4.99,"2005-08-01 13:23:06"
562,10734,0.99,"2005-08-01 19:28:47"
563,11072,0.99,"2005-08-02 07:10:57"
564,11970,0.99,"2005-08-17 17:53:09"
565,12131,2.99,"2005-08-17 23:34:16"
566,12660,4.99,"2005-08-18 19:07:23"
567,12774,6.99,"2005-08-18 23:34:22"
568,13381,2.99,"2005-08-19 21:37:57"
569,13399,4.99,"2005-08-19 22:09:28"
570,13411,4.99,"2005-08-19 22:43:38"
571,13463,8.99,"2005-08-20 00:50:54"
572,13699,9.99,"2005-08-20 09:26:14"
573,13740,4.99,"2005-08-20 10:48:43"
574,14077,8.99,"2005-08-20 23:24:07"
575,14161,2.99,"2005-08-21 02:51:59"
576,14446,2.99,"2005-08-21 12:10:41"
577,14869,4.99,"2005-08-22 03:20:26"
578,14933,2.99,"2006-02-14 15:16:03"
579,370,4.99,"2005-05-27 07:49:43"
580,556,4.99,"2005-05-28 08:31:36"
581,820,8.99,"2005-05-29 21:07:22"
582,3419,2.99,"2005-06-21 17:18:01"
583,4215,2.99,"2005-07-07 12:00:52"
584,5294,6.99,"2005-07-09 15:23:42"
